Permission Identifier;Permission Display Name;SoD Class
Management_Share1071;Management_Share1071;
Management_Share1072;Management_Share1072;
Management_Share1073;Management_Share1073;
Management_Share1074;Management_Share1074;
Management_Share1075;Management_Share1075;
Management_Share1076;Management_Share1076;
Management_Share1080;Management_Share1080;
Management_Share1082;Management_Share1082;
Management_Share1084;Management_Share1084;
Management_Share1085;Management_Share1085;
Management_Share1086;Management_Share1086;
Management_Share1087;Management_Share1087;
Management_Share1088;Management_Share1088;
Management_Share1089;Management_Share1089;
Management_Share1090;Management_Share1090;
Management_Share1092;Management_Share1092;
Management_Share1095;Management_Share1095;
Management_Share1097;Management_Share1097;
Management_Share1098;Management_Share1098;
Management_Share1099;Management_Share1099;
Marketing;Marketing;
Marketing_Share;Marketing_Share;
Migration_Win8;Migration_Win8;
MUC_Access;MUC_Access;Trade
MUC_Access_Extended;MUC_Access_Extended;Compliance
MUC_Adv_Share;MUC_Adv_Share;
MUC_Network;MUC_Network;Legal
NBG_Access;NBG_Access;
NBG_Employees;NBG_Employees;
Network_Storage;Network_Storage;Market
Network_Storage_Extended;Network_Storage_Extended;
NortonAntiVir_User;NortonAntiVir_User;
Novell+;Novell+;
Novell_BorderMgr;Novell_BorderMgr;
Novell_BorderMgr_Acc;Novell_BorderMgr_Acc;
Office;Office;
Office_2013;Office_2013;
Office_Template;Office_Template;
Order_Processing;Order_Processing;
Privileged_Users;Privileged_Users;
Project_1100;Project_1100;
Project_1102;Project_1102;
Project_1103;Project_1103;
Project_1104;Project_1104;
Project_1105;Project_1105;
Project_1106;Project_1106;
Project_1107;Project_1107;
Project_1108;Project_1108;
Project_1109;Project_1109;
Project_1120;Project_1120;
Project_1121;Project_1121;
Project_1122;Project_1122;
Project_1123;Project_1123;
Project_1124;Project_1124;
Project_1125;Project_1125;
Project_1127;Project_1127;
Project_1128;Project_1128;
Project_1129;Project_1129;
Project_113;Project_113;
Project_1130;Project_1130;
Project_1131;Project_1131;
Project_1132;Project_1132;
Project_1133;Project_1133;
Project_1134;Project_1134;
Project_1136;Project_1136;
Project_1137;Project_1137;
Project_1138;Project_1138;
Project_1139;Project_1139;
Project_143;Project_143;
Project_14_ext1;Project_14_ext1;
Project_14_ext4;Project_14_ext4;
Project_14_ext7;Project_14_ext7;
Project_14_ext8;Project_14_ext8;
Project_14_ext9;Project_14_ext9;
Project_14_ext_Extended;Project_14_ext_Extended;
Project_14_Management9;Project_14_Management9;
Project_17;Project_17;
Project_178;Project_178;
Project_179;Project_179;
Project_18;Project_18;
Project_180;Project_180;
Project_181;Project_181;
Project_182;Project_182;
Project_183;Project_183;
Project_184;Project_184;
Project_185;Project_185;
Project_188;Project_188;
Project_189;Project_189;
Project_19;Project_19;
Project_190;Project_190;
Project_191;Project_191;
Project_193;Project_193;
Project_197;Project_197;
Project_198;Project_198;
Project_199;Project_199;
Project_200;Project_200;
Project_200_Extended;Project_200_Extended;Legal
Project_204;Project_204;
Project_206;Project_206;
Project_207;Project_207;
Project_208;Project_208;
Project_21;Project_21;
Project_210;Project_210;
Project_212;Project_212;
Project_214;Project_214;
Project_218;Project_218;
Project_219;Project_219;
Project_700;Project_700;
Project_702;Project_702;
Project_704;Project_704;
Project_705;Project_705;
Project_706;Project_706;
Project_707;Project_707;
Project_708;Project_708;
Project_709;Project_709;
Project_DEFT0;Project_DEFT0;
Project_DEFT1;Project_DEFT1;
Project_DEFT2;Project_DEFT2;
Project_DEFT5;Project_DEFT5;Fund Mgt.
Project_DEFT6;Project_DEFT6;
Project_DEFT9;Project_DEFT9;Audit
Project_Draw1;Project_Draw1;
Project_Draw2;Project_Draw2;
Project_Draw24;Project_Draw24;
Project_Draw245;Project_Draw245;
Project_Draw25;Project_Draw25;
Project_Draw252_Extended;Project_Draw252_Extended;
Project_Draw254;Project_Draw254;
Project_Draw26;Project_Draw26;
Project_Draw260;Project_Draw260;
Project_Draw265;Project_Draw265;
Project_Draw267;Project_Draw267;
Project_Draw268;Project_Draw268;
Project_Draw268_Extended;Project_Draw268_Extended;
Project_Draw269;Project_Draw269;
Project_Draw6;Project_Draw6;
Project_Draw8;Project_Draw8;
Project_Draw9;Project_Draw9;
Project_GreenIT0;Project_GreenIT0;
Project_GreenIT1;Project_GreenIT1;
Project_GreenIT2;Project_GreenIT2;
Project_GreenIT4;Project_GreenIT4;
Project_GreenIT6;Project_GreenIT6;
Project_GreenIT7;Project_GreenIT7;
Project_GreenIT8;Project_GreenIT8;
Project_GreenIT9;Project_GreenIT9;
Project_NT;Project_NT;
Project_Raqu;Project_Raqu;
Project_Raqu0;Project_Raqu0;
Project_Raqu1;Project_Raqu1;
Project_Roots0;Project_Roots0;
Project_Roots2;Project_Roots2;
Project_Roots3;Project_Roots3;
Project_Roots5;Project_Roots5;
Project_Roots6;Project_Roots6;
Project_Roots7;Project_Roots7;
Project_Roots9;Project_Roots9;
Project_Wards;Project_Wards;
R_Company_Profile;R_Company_Profile;
R_Customer_List;R_Customer_List;
R_External_Announcements;R_External_Announcements;
R_External_Guides;R_External_Guides;
R_External_List;R_External_List;
R_Guidance_Access_Share;R_Guidance_Access_Share;
R_Guidelines;R_Guidelines;
R_Local_Storage0;R_Local_Storage0;
R_Local_Storage7;R_Local_Storage7;
R_Local_Storage9;R_Local_Storage9;Payment Traffic
R_Management_Planning;R_Management_Planning;
R_Munich_Access_Share;R_Munich_Access_Share;
R_Partner_List;R_Partner_List;Risk Controlling
R_Partner_List_Extended;R_Partner_List_Extended;
R_Public_Announcements;R_Public_Announcements;
R_RegistrationServices;R_RegistrationServices;
R_Rentals;R_Rentals;
R_Security_Incidents;R_Security_Incidents;
R_Shop_List;R_Shop_List;
R_Special_Deals;R_Special_Deals;
R_Special_Deals_Extended;R_Special_Deals_Extended;
R_Strategic_Planning;R_Strategic_Planning;
R_Supplier_List;R_Supplier_List;Accounting
R_Supplier_Office_List;R_Supplier_Office_List;
R_Supplier_Office_List_Extended;R_Supplier_Office_List_Extended;
Retail_Manager;Retail_Manager;
Retail_Shops_Planning;Retail_Shops_Planning;
Root_Server;Root_Server;
Sales_Information;Sales_Information;Payment Traffic
Sales_Information_Extended;Sales_Information_Extended;
Secretaries;Secretaries;
Self Service;Self Service;Audit
Self Service_Win8;Self Service_Win8;
Service_Ticket_Load;Service_Ticket_Load;
Service_Ticket_Reg;Service_Ticket_Reg;
Shop_Sales_Access;Shop_Sales_Access;
Standard_User_Profile;Standard_User_Profile;Fund Mgt.
Storage_Access;Storage_Access;
Strategy_Share;Strategy_Share;
STU_Access;STU_Access;
STU_Access_Extended;STU_Access_Extended;
STU_Ext_Access;STU_Ext_Access;
Support_Access;Support_Access;
Trainee_Access;Trainee_Access;
Trainee_Group;Trainee_Group;
W_Company_Publications;W_Company_Publications;
W_Customer_List;W_Customer_List;
W_External_List;W_External_List;
W_Guidance_Access_Share;W_Guidance_Access_Share;
W_Local_Storage;W_Local_Storage;
W_Management_Planning;W_Management_Planning2;
W_Munich_Access_Share;W_Munich_Access_Share;
W_Partner_List;W_Partner_List;
W_RegistrationServices;W_RegistrationServices;
W_Security_Incidents;W_Security_Incidents;Market
W_Shop_List_Extended;W_Shop_List_Extended;
W_Strategic_Planning;W_Strategic_Planning;
W_Supplier_List;W_Supplier_List;
W_Supplier_List_Extended;W_Supplier_List_Extended;
Windows_8;Windows_8;
Work_Load_Admin7;Work_Load_Admin7;
Work_Load_Users;Work_Load_Users;
